TaxTaxNo,EMUIRN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBGENUS,SPECIES,TAXON,AITHOR,AITHOR1
1,,Uncurated,,,,,ENTERER,,ERROR,,,
13114,,Animalia,Mollusca,Gastropoda,,Acmaeidae,"""Acmaea""",,martinezensis,"""Acmaea"" martinezensis","Dickerson, 1914",
13196,,Animalia,Mollusca,Gastropoda,,Acteonidae,"""Acteon""",,venturensis,"""Acteon"" venturensis","Nelson, 1925",
13088,,Animalia,Mollusca,Gastropoda,,Tornidae,"""Adeorbis""",,woodfordi,"""Adeorbis"" woodfordi","Nelson, 1925",
11827,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,"""Alaria""",,fairbanksi,"""Alaria"" fairbanksi","Davis, 1913",
12879,,Animalia,Mollusca,Bivalvia,Venerida,Cardiidae,"""Americardia""",,"""myra""","""Americardia"" ""myra""",,
11828,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,"""Anchura""",,carinifera,"""Anchura"" carinifera","Gabb, 1869",
12991,,Animalia,Mollusca,Gastropoda,,Architectonicidae,"""Architectonica""",,simiensis,"""Architectonica"" simiensis","Nelson, 1925",
12025,,Animalia,Mollusca,Gastropoda,,Cerithiidae,"""Cerithium""",,suciensis,"""Cerithium"" suciensis","Packard, 1922",
2999,,Animalia,Mollusca,Bivalvia,Pectinoida,Pectinidae,"""Chlamys""",,mediacostata,"""Chlamys"" mediacostata","(Hanna, 1926)",
3030,,Animalia,Mollusca,Bivalvia,Pectinoida,Pectinidae,"""Chlamys""",,sp.,"""Chlamys"" sp.",,
11228,,Animalia,Mollusca,Bivalvia,Venerida,Arcticidae,"""Cyprina""",,denmanensis,"""Cyprina"" denmanensis","Whiteaves, 1903",
2227,,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitromorphidae,"""Daphnella""",,sp.,"""Daphnella"" sp.",,
13117,,Animalia,Mollusca,Gastropoda,,Fissurellidae,"""Fissurella""",,behri,"""Fissurella"" behri","Dickerson, 1914",
