SitSiteNumber,WEBSITE - accno
8100,L.2059
8103,L.2059
8104,L.2059
29206,L.2213.86-76
28572,L.2213.86-76
5178,P.996.76-1
9881,L.2059
11570,
11954,A.11182.89-1
11955,A.11182.89-1
22505,L.2213.86-76
29122,L.2213.86-76
3154,
3157,
5575,A.E.77-14
5659,A.9930.78-16
9878,L.2059
10572,L.2213.86-76
12428,L.2213.86-76
28502,L.2213.86-76
28503,L.2213.86-76
28504,L.2213.86-76
30144,L.2213.86-76
34959,F.A.3755.2000-1
34970,F.A.3755.2000-1
656,L.2586.68-1
29847,L.2213.86-76
29849,L.2213.86-76
29850,L.2213.86-76
29851,L.2213.86-76
29854,L.2213.86-76
15263,L.2213.86-76
9658,L.2059
29853,L.2213.86-76
12374,A.11154.88-1
6170,A.10667.82-4
13529,L.2213.86-76
5175,P.996.76-1
2120,L.2586.84-2
2121,L.2586.84-2
8107,L.2059
5798,A.10460.79-1
6140,
6453,L.2586.84-2
9161,L.2059
1469,A.2210
1470,A.2210
12469,L.2213.86-76
12470,L.2213.86-76
22496,L.2213.86-76
633,L.2586.68-1
3239,A.1535
3240,P.465.62-1
3241,P.465.62-1
9863,L.2059
9865,L.2059
9866,L.2059
9868,L.2059
9877,L.2059
9879,L.2059
10573,L.2213.86-76
10574,L.2213.86-76
10894,L.2059
15874,L.2213.86-76
21289,L.2213.86-76
22480,L.2213.86-76
29124,L.2213.86-76
2072,L.2586.84-2
8106,L.2059
2115,L.2586.84-2
8101,L.2059
12468,L.2213.86-76
29205,L.2213.86-76
29207,L.2213.86-76
3155,
3156,
6071,F.A.2310.81-1
6139,A.8155.82-8
9880,L.2059
12429,L.2213.86-76
12430,L.2213.86-76
22484,L.2213.86-76
22509,L.2213.86-76
22510,L.2213.86-76
22577,L.2213.86-76
29121,L.2213.86-76
10655,L.2213.86-76
10656,L.2213.86-76
8098,L.2059
8099,L.2059
8105,L.2059
9867,L.2059
12416,L.2213.86-76
22481,L.2213.86-76
22502,L.2213.86-76
29204,L.2213.86-76
34977,F.A.3755.2000-1
34990,F.A.3755.2000-1
34991,F.A.3755.2000-1
11011,
11012,
11013,
11014,
24997,L.2213.86-76
24998,L.2213.86-76
25044,L.2213.86-76
25045,L.2213.86-76
25046,L.2213.86-76
26688,L.2213.86-76
26708,L.2213.86-76
31473,
25059,L.2213.86-76
12031,A.11154.88-1
12117,A.11154.88-1
25002,L.2213.86-76
25007,L.2213.86-76
28680,L.2213.86-76
16411,L.2213.86-76
25010,L.2213.86-76
25116,L.2213.86-76
25117,L.2213.86-76
25118,L.2213.86-76
25005,L.2213.86-76
25008,L.2213.86-76
25012,L.2213.86-76
25015,L.2213.86-76
25031,L.2213.86-76
25037,L.2213.86-76
25040,L.2213.86-76
25042,L.2213.86-76
25043,L.2213.86-76
26916,L.2213.86-76
24203,L.2213.86-76
25009,L.2213.86-76
25003,L.2213.86-76
25004,L.2213.86-76
25032,L.2213.86-76
25033,L.2213.86-76
25034,L.2213.86-76
25035,L.2213.86-76
25036,L.2213.86-76
25038,L.2213.86-76
25039,L.2213.86-76
26901,L.2213.86-76
26820,L.2213.86-76
26660,L.2213.86-76
26693,L.2213.86-76
25856,L.2213.86-76
11894,A.11153.88-1
25055,L.2213.86-76
11891,A.11153.88-1
25041,L.2213.86-76
11741,
24968,L.2213.86-76
24969,L.2213.86-76
24970,L.2213.86-76
25119,L.2213.86-76
25120,L.2213.86-76
25121,L.2213.86-76
25123,L.2213.86-76
25124,L.2213.86-76
25125,L.2213.86-76
25126,L.2213.86-76
25127,L.2213.86-76
25128,L.2213.86-76
25129,L.2213.86-76
25130,L.2213.86-76
25131,L.2213.86-76
25132,L.2213.86-76
25133,L.2213.86-76
25134,L.2213.86-76
25135,L.2213.86-76
25136,L.2213.86-76
25137,L.2213.86-76
25138,L.2213.86-76
25139,L.2213.86-76
25140,L.2213.86-76
25141,L.2213.86-76
25142,L.2213.86-76
25143,L.2213.86-76
25144,L.2213.86-76
26661,L.2213.86-76
26662,L.2213.86-76
26663,L.2213.86-76
26664,L.2213.86-76
26665,L.2213.86-76
26666,L.2213.86-76
26667,L.2213.86-76
26668,L.2213.86-76
26669,L.2213.86-76
26673,L.2213.86-76
26674,L.2213.86-76
26679,L.2213.86-76
26683,L.2213.86-76
26709,L.2213.86-76
26818,L.2213.86-76
26819,L.2213.86-76
26899,L.2213.86-76
2191,L.2586.84-2
2304,A.9419.71-1
2305,A.9419.71-1
24946,L.2213.86-76
25145,L.2213.86-76
25146,L.2213.86-76
26671,L.2213.86-76
26672,L.2213.86-76
26691,L.2213.86-76
26692,L.2213.86-76
24204,L.2213.86-76
23206,L.2213.86-76
24205,L.2213.86-76
25011,L.2213.86-76
25020,L.2213.86-76
25021,L.2213.86-76
26680,L.2213.86-76
26681,L.2213.86-76
26707,L.2213.86-76
26716,L.2213.86-76
26726,L.2213.86-76
26900,L.2213.86-76
26684,L.2213.86-76
26685,L.2213.86-76
26686,L.2213.86-76
26687,L.2213.86-76
10962,L.2213.86-76
24194,L.2213.86-76
24195,L.2213.86-76
24196,L.2213.86-76
24197,L.2213.86-76
24198,L.2213.86-76
24201,L.2213.86-76
24202,L.2213.86-76
24206,L.2213.86-76
24999,L.2213.86-76
25000,L.2213.86-76
25001,L.2213.86-76
25016,L.2213.86-76
25017,L.2213.86-76
25018,L.2213.86-76
25019,L.2213.86-76
25022,L.2213.86-76
25023,L.2213.86-76
25024,L.2213.86-76
25025,L.2213.86-76
25026,L.2213.86-76
25027,L.2213.86-76
25028,L.2213.86-76
25029,L.2213.86-76
25030,L.2213.86-76
26694,L.2213.86-76
26706,L.2213.86-76
26717,L.2213.86-76
26718,L.2213.86-76
26727,L.2213.86-76
26729,L.2213.86-76
30081,L.2213.86-76
24942,L.2213.86-76
24943,L.2213.86-76
24944,L.2213.86-76
24947,L.2213.86-76
24948,L.2213.86-76
24949,L.2213.86-76
24950,L.2213.86-76
24954,L.2213.86-76
24955,L.2213.86-76
24956,L.2213.86-76
24957,L.2213.86-76
24958,L.2213.86-76
24959,L.2213.86-76
24960,L.2213.86-76
24971,L.2213.86-76
24972,L.2213.86-76
24974,L.2213.86-76
24975,L.2213.86-76
24976,L.2213.86-76
24977,L.2213.86-76
24978,L.2213.86-76
24979,L.2213.86-76
24981,L.2213.86-76
24982,L.2213.86-76
24983,L.2213.86-76
24984,L.2213.86-76
25064,L.2213.86-76
25084,L.2213.86-76
25085,L.2213.86-76
25086,L.2213.86-76
25087,L.2213.86-76
25088,L.2213.86-76
25089,L.2213.86-76
25096,L.2213.86-76
25097,L.2213.86-76
25110,L.2213.86-76
25111,L.2213.86-76
25112,L.2213.86-76
25115,L.2213.86-76
26675,L.2213.86-76
26676,L.2213.86-76
26677,L.2213.86-76
26678,L.2213.86-76
26721,L.2213.86-76
26902,L.2213.86-76
26903,L.2213.86-76
26907,L.2213.86-76
24945,L.2213.86-76
24973,L.2213.86-76
24985,L.2213.86-76
24986,L.2213.86-76
24987,L.2213.86-76
24988,L.2213.86-76
24989,L.2213.86-76
24990,L.2213.86-76
25090,L.2213.86-76
25091,L.2213.86-76
25092,L.2213.86-76
25093,L.2213.86-76
25094,L.2213.86-76
25095,L.2213.86-76
26639,L.2213.86-76
26682,L.2213.86-76
26728,L.2213.86-76
24962,L.2213.86-76
24963,L.2213.86-76
24992,L.2213.86-76
24993,L.2213.86-76
24994,L.2213.86-76
24995,L.2213.86-76
24996,L.2213.86-76
25063,L.2213.86-76
2059,L.2586.84-2
4844,
6950,
11890,A.11153.88-1
12722,
12723,
12724,
12725,
12726,
12727,
12728,
12729,
24964,L.2213.86-76
24965,L.2213.86-76
24966,L.2213.86-76
24991,L.2213.86-76
25060,L.2213.86-76
25061,L.2213.86-76
25062,L.2213.86-76
25868,L.2213.86-76
29043,L.2213.86-76
30491,L.2213.86-76
30492,L.2213.86-76
30493,L.2213.86-76
25122,L.2213.86-76
26908,L.2213.86-76
26909,L.2213.86-76
26910,L.2213.86-76
26911,L.2213.86-76
26912,L.2213.86-76
26913,L.2213.86-76
26914,L.2213.86-76
26689,L.2213.86-76
6883,L.2586.84-2
5261,A.8031.77-13
24951,L.2213.86-76
24952,L.2213.86-76
24953,L.2213.86-76
24961,L.2213.86-76
25048,L.2213.86-76
25049,L.2213.86-76
25051,L.2213.86-76
25052,L.2213.86-76
25053,L.2213.86-76
25054,L.2213.86-76
25056,L.2213.86-76
25057,L.2213.86-76
25058,L.2213.86-76
25098,L.2213.86-76
25099,L.2213.86-76
25100,L.2213.86-76
25101,L.2213.86-76
25102,L.2213.86-76
25103,L.2213.86-76
25104,L.2213.86-76
25105,L.2213.86-76
25106,L.2213.86-76
25107,L.2213.86-76
25108,L.2213.86-76
25109,L.2213.86-76
25113,L.2213.86-76
25114,L.2213.86-76
25857,L.2213.86-76
25858,L.2213.86-76
25859,L.2213.86-76
25864,L.2213.86-76
25865,L.2213.86-76
25866,L.2213.86-76
25871,L.2213.86-76
25872,L.2213.86-76
25873,L.2213.86-76
25874,L.2213.86-76
25881,L.2213.86-76
25882,L.2213.86-76
25883,L.2213.86-76
25884,L.2213.86-76
25885,L.2213.86-76
25890,L.2213.86-76
25894,L.2213.86-76
26917,L.2213.86-76
29039,L.2213.86-76
30124,L.2213.86-76
31483,
2530,A.9419.71-2
8212,
8446,
25897,L.2213.86-76
25867,L.2213.86-76
25869,L.2213.86-76
25870,L.2213.86-76
25875,L.2213.86-76
25876,L.2213.86-76
25877,L.2213.86-76
25878,L.2213.86-76
25879,L.2213.86-76
25880,L.2213.86-76
25888,L.2213.86-76
25889,L.2213.86-76
25891,L.2213.86-76
25892,L.2213.86-76
25893,L.2213.86-76
25895,L.2213.86-76
25896,L.2213.86-76
25898,L.2213.76-86
11887,A.11153.88-1
26670,L.2213.86-76
24199,L.2213.86-76
4019,A.1725
4322,A.6634.54-1
4566,A.9548.73-2
8332,L.2059
8333,L.2059
8334,L.2059
8933,L.2059
8934,L.2059
8935,L.2059
8936,L.2059
8937,L.2059
9095,L.2059
9096,L.2059
9097,L.2059
9098,L.2059
9099,L.2059
9100,L.2059
9101,L.2059
9102,L.2059
9103,L.2059
9104,L.2059
9105,L.2059
9106,L.2059
9712,L.2059
9713,L.2059
9714,L.2059
9715,L.2059
11396,L.2213.86-76
11397,L.2213.86-76
12529,L.2213.86-76
12573,A.11154.88-1
14787,L.2213.86-76
16077,L.2213.86-76
16078,L.2213.86-76
16084,L.2213.86-76
16099,L.2213.86-76
16116,L.2213.86-76
16160,L.2213.86-76
16179,L.2213.86-76
16216,L.2213.86-76
16217,L.2133.86-76
16220,L.2213.86-76
16221,L.2213.86-76
16222,L.2213.86-76
16239,L.2213.86-76
16242,L.2213.86-76
16251,L.2213.86-76
16262,L.2213.86-76
16263,L.2213.86-76
16288,L.2213.86-76
16296,L.2213.86-76
16308,L.2213.86-76
16360,L.2213.86-76
16362,L.2213.86-76
16381,L.2213.86-76
16382,L.2213.86-76
16383,L.2213.86-76
16384,L.2213.86-76
16385,L.2213.86-76
16807,L.2213.86-76
24717,L.2213.86-76
29158,L.2213.86-76
29159,L.2213.86-76
29160,L.2213.86-76
29161,L.2213.86-76
29162,L.2213.86-76
29163,L.2213.86-76
29937,L.2213.86-76
29938,L.2213.86-76
29939,L.2213.86-76
29940,L.2213.86-76
29941,L.2213.86-76
29944,L.2213.86-76
29949,L.2213.86-76
29955,L.2213.86-76
29957,L.2213.86-76
29961,L.2213.86-76
29963,L.2213.86-76
29964,L.2213.86-76
29968,L.2213.86-76
29969,L.2213.86-76
29971,L.2213.86-76
185,A.6067
4021,
4323,A.2217
4324,
4325,
4399,
4742,A.9310.74-5
8927,L.2059
8928,L.2059
9711,L.2059
20584,L.2213.86-76
1349,A.1862
1493,L.2586.84-2
16309,L.2213.86-76
24341,L.2213.86-76
24342,L.2213.86-76
24343,L.2213.86-76
24344,L.2213.86-76
25153,L.2213.86-76
25154,L.2213.86-76
25155,L.2213.86-76
25156,L.2213.86-76
25157,L.2213.86-76
25158,L.2213.86-76
25532,L.2213.86-76
25833,L.2213.86-76
28556,L.2213.86-76
28604,L.2213.86-76
29946,L.2213.86-76
29947,L.2213.86-76
15378,A.11287.92-1
