irn,TAXON,ClaCurrentlyAccepted,currentName_irn,ClaKingdom,ClaPhylum,ClaSubphylum,ClaClass,ClaSubclass,ClaSuperorder,ClaOrder,ClaSuborder,ClaInfraorder,ClaSuperfamily,ClaFamily,ClaSubfamily,ClaTribe,ClaGenus,ClaSubgenus,ClaSpecies,ClaSubspecies,AutAuthorString,Ide2Qaulifier_tab,Ide2QualifierRank_tab
203363,Hamulus sp.,Yes,,Animalia,Annelida,,Polychaeta,,,Sabellida,,,,Serpulidae,,,Hamulus,,,,,sp.,genus
203559,Rotularia sp.,Yes,,Animalia,Annelida,,Polychaeta,,,Sabellida,,,,Serpulidae,,,Rotularia,,,,,sp.,genus
203102,Serpulidae indet.,Yes,,Animalia,Annelida,,Polychaeta,,,Sabellida,,,,Serpulidae,,,,,,,,indet.,family
202958,Sabellida indet.,Yes,,Animalia,Annelida,,Polychaeta,,,Sabellida,,,,,,,,,,,,indet.,order
202904,Polychaeta indet.,Yes,,Animalia,Annelida,,Polychaeta,,,,,,,,,,,,,,,indet.,class
202886,Annelida indet.,Yes,,Animalia,Annelida,,,,,,,,,,,,,,,,,indet.,phylum
202376,Argyroneta antiqua,No,202296,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Argyronetidae,,,Argyroneta,,antiqua,,"(Von Heyden, 1859)",,species
120463,Argyroneta sp.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Argyronetidae,,,Argyroneta,,,,,sp.,genus
118497,Argyronetidae indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Argyronetidae,,,,,,,,indet.,family
207244,Argenna fossilis,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Dictynidae,,,Argenna,,fossilis,,"Petrunkevitch in Palmer, 1957",,species
207243,Argenna sp.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Dictynidae,,,Argenna,,,,,sp.,genus
207242,Dictynidae indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Dictynidae,,,,,,,,indet.,family
202296,Elvina antiqua,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Incertae sedis,,,Elvina,,antiqua,,"(Heyden, 1859)",,species
201958,Elvina sp.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Incertae sedis,,,Elvina,,,,,sp.,genus
201904,Incertae sedis indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Incertae sedis,,,,,,,,indet.,family
207249,Lycosidae indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Lycosidae,,,,,,,,indet.,family
207247,Dendryphantes sp.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Salticidae,,,Dendryphantes,,,,,sp.,genus
207498,Salticus seymouri,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Salticidae,,,Salticus,,seymouri,,"Pierce, 1950",,species
207497,Salticus sp.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Salticidae,,,Salticus,,,,,sp.,genus
207245,Salticidae indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Salticidae,,,,,,,,indet.,family
201894,Araneae indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,,,,,,,,,indet.,order
