index,SitSiteNumber,AdmOriginalData 1,AdmOriginalData 4,IPCollName_tab 1,IPCollName_tab 2,IPCollName_tab 3,IPCollName_tab 4,IPCollName_tab,IPCollName_tab (verbatim),IPStartDate0,IPEndDate0,Date (verbatim)
13786,LACMIP 4781,VERBATIM COLLECTOR NAME: F. Wood; VERBATIM COLLECTING DATE: . March 1; 1900,FORMATTED COLLECTOR NAME: F. Wood,F. Wood,,,,F. Wood,F. Wood,1900-03-01,1900-03-01,. March 1; 1900
10520,LACMIP 1288,VERBATIM COLLECTOR NAME: J. Gilbert; VERBATIM COLLECTING DATE: <1916,FORMATTED COLLECTOR NAME: John Z. Gilbert,J. Gilbert,,,,J. Gilbert,J. Gilbert,1800,1916,<1916
6,LACMIP 15,VERBATIM COLLECTING DATE: <1930,,unknown,,,,unknown,,1800,1930,<1930
8,LACMIP 18,VERBATIM COLLECTOR NAME: C. Jay; G. Grant; VERBATIM COLLECTING DATE: <1930,FORMATTED COLLECTOR NAME: Charles M. Jay; G. Grant,C. Jay,G. Grant,,,"C. Jay, G. Grant",C. Jay; G. Grant,1800,1930,<1930
9,LACMIP 19,VERBATIM COLLECTOR NAME: J. Poyas; VERBATIM COLLECTING DATE: <1930,FORMATTED COLLECTOR NAME: J. K. Poyas,J. Poyas,,,,J. Poyas,J. Poyas,1800,1930,<1930
26000,LACMIP 21117,VERBATIM COLLECTOR NAME: S. Stewart; F. Vandenberg; VERBATIM COLLECTING DATE: >1930,FORMATTED COLLECTOR NAME: S. Stewart; F. Vandenberg,S. Stewart,F. Vandenberg,,,"S. Stewart, F. Vandenberg",S. Stewart; F. Vandenberg,1930,2018,>1930
26003,LACMIP 21120,VERBATIM COLLECTOR NAME: S. Stewart; F. Vandenberg; VERBATIM COLLECTING DATE: >1930,FORMATTED COLLECTOR NAME: S. Stewart; F. Vandenberg,S. Stewart,F. Vandenberg,,,"S. Stewart, F. Vandenberg",S. Stewart; F. Vandenberg,1930,2018,>1930
29226,LACMIP 25824,VERBATIM COLLECTOR NAME: F. Wolfson; VERBATIM COLLECTING DATE: 01/22-27/1968,FORMATTED COLLECTOR NAME: F. Wolfson,F. Wolfson,,,,F. Wolfson,F. Wolfson,1968-01-22,1968-01-27,01/22-27/1968
310,LACMIP 6088,VERBATIM COLLECTOR NAME: M. Webster; others; VERBATIM COLLECTING DATE: 03/1963-04-1963,FORMATTED COLLECTOR NAME: Melvin Webster,M. Webster,,,,M. Webster,M. Webster; others,1963-03,1963-04,03/1963-04-1963
59,LACMIP 130,VERBATIM COLLECTOR NAME: F. Feltham; L. Bessom; J. Hoppinger; G. Kanakoff; VERBATIM COLLECTING DATE: 06/1947-07/1947,FORMATTED COLLECTOR NAME: F. Feltham; L. Bessom; J. Hoppinger; G. P. Kanakoff,F. Feltham,L. Bessom,J. Hoppinger,G. Kanakoff,"F. Feltham, L. Bessom, J. Hoppinger, G. Kanakoff",F. Feltham; L. Bessom; J. Hoppinger; G. Kanakoff,1947-06,1947-07,06/1947-07/1947
29620,LACMIP 26318,VERBATIM COLLECTOR NAME: Susuki family; C. Stadum; VERBATIM COLLECTING DATE: 07/17/1975-11/22/1975,FORMATTED COLLECTOR NAME: A. Susuki; Carol J. Stadum,A. Susuki,C. Stadum,,,"A. Susuki, C. Stadum",Susuki family; C. Stadum,1975-07-17,1975-11-22,07/17/1975-11/22/1975
13811,LACMIP 4830,VERBATIM COLLECTOR NAME: E. Wilson; VERBATIM COLLECTING DATE: 09/1974; 03/25/1975,FORMATTED COLLECTOR NAME: Edward C. Wilson,E. Wilson,,,,E. Wilson,E. Wilson,1974-09,1975-03-25,09/1974; 03/25/1975
3104,LACMIP 10691,VERBATIM COLLECTOR NAME: J. Dorrance; VERBATIM COLLECTING DATE: Oct. 1 929,FORMATTED COLLECTOR NAME: J. Dorrance,J. Dorrance,,,,J. Dorrance,J. Dorrance,1929-10-06,1929-10-06,Oct. 1 929
29224,LACMIP 25822,VERBATIM COLLECTOR NAME: D. Weide; VERBATIM COLLECTING DATE: 1/22-27/1968,FORMATTED COLLECTOR NAME: David L. Weide,D. Weide,,,,D. Weide,D. Weide,1968-01-22,1968-01-27,1/22-27/1968
29225,LACMIP 25823,VERBATIM COLLECTOR NAME: D. Weide; VERBATIM COLLECTING DATE: 1/22-27/1968,FORMATTED COLLECTOR NAME: David L. Weide,D. Weide,,,,D. Weide,D. Weide,1968-01-22,1968-01-27,1/22-27/1968
3985,LACMIP 17919,VERBATIM COLLECTOR NAME: R. Squires; VERBATIM COLLECTING DATE: 11/07/2010; 10/21/2011,FORMATTED COLLECTOR NAME: Richard Squires,R. Squires,,,,R. Squires,R. Squires,2010-11-07,2011-10-21,11/07/2010; 10/21/2011
570,LACMIP 17396,VERBATIM COLLECTING DATE: 12/2003-05/2004,,unknown,,,,unknown,,2003-12,2004-05,12/2003-05/2004
571,LACMIP 17397,VERBATIM COLLECTING DATE: 12/2003-05/2004,,unknown,,,,unknown,,2003-12,2004-05,12/2003-05/2004
572,LACMIP 17398,VERBATIM COLLECTING DATE: 12/2003-05/2004,,unknown,,,,unknown,,2003-12,2004-05,12/2003-05/2004
2,LACMIP 3,VERBATIM COLLECTOR NAME: M. Williamson; VERBATIM COLLECTING DATE: 1889,FORMATTED COLLECTOR NAME: M. Williamson,M. Williamson,,,,M. Williamson,M. Williamson,1889,1889,1889
13413,LACMIP 4352,VERBATIM COLLECTOR NAME: K. Bjorlykke; VERBATIM COLLECTING DATE: 1892,FORMATTED COLLECTOR NAME: K. O. Bjorlykke,K. Bjorlykke,,,,K. Bjorlykke,K. Bjorlykke,1892,1892,1892
20460,LACMIP 12827,VERBATIM COLLECTOR NAME: C. Schuchert; VERBATIM COLLECTING DATE: 1893,FORMATTED COLLECTOR NAME: Charles Schuchert,C. Schuchert,,,,C. Schuchert,C. Schuchert,1893,1893,1893
